Year,Month,Anomaly
1975,7,15.944
1975,8,15.632
1975,9,15.199
1975,10,14.231
1975,11,13.059
1975,12,12.445
1976,1,12.254
1976,2,12.396
1976,3,12.876
1976,4,13.973
1976,5,14.757
1976,6,15.544
1976,7,15.931
1976,8,15.673
1976,9,15.202
1976,10,14.108
1976,11,13.253
1976,12,12.716
1977,1,12.606
1977,2,12.739
1977,3,13.302
1977,4,14.343
1977,5,15.403
1977,6,16.076
1977,7,16.217
1977,8,16.104
1977,9,15.319
1977,10,14.416
1977,11,13.468
1977,12,12.647
1978,1,12.429
1978,2,12.696
1978,3,13.305
1978,4,14.256
1978,5,15.19
1978,6,15.75
1978,7,16.081
1978,8,15.641
1978,9,15.349
1978,10,14.303
